"","FechaInicio","Delito","Categoria","Sexo","Edad","CalidadJuridica","FechaHecho","HoraHecho","HoraInicio","geopoint","AlcaldiaHechos","ColoniaHechos","persona_fisica"
"558","23/12/2019","AMENAZAS","DELITO DE BAJO IMPACTO","Femenino",39,"VICTIMA Y DENUNCIANTE","20/12/2019",23:00:00,21:14:00,"19.4580151019,-99.1817070998","MIGUEL HIDALGO","POPOTLA",TRUE
"559","23/12/2019","DISCRIMINACION","DELITO DE BAJO IMPACTO","Femenino",NA,"VICTIMA Y DENUNCIANTE","02/11/2019",12:00:00,21:16:00,"19.3918861836,-99.0996134947","IZTACALCO","GABRIEL RAMOS MILLÁN",TRUE
"560","23/12/2019","LESIONES CULPOSAS POR TRANSITO VEHICULAR","DELITO DE BAJO IMPACTO","Masculino",NA,"LESIONADO","23/12/2019",18:40:00,21:22:00,NA,"IZTAPALAPA",NA,TRUE
"561","23/12/2019","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA","Femenino",NA,"VICTIMA","23/12/2019",14:30:00,21:37:00,"19.4236294091,-99.1258989708","CUAUHTEMOC","CENTRO",TRUE
"562","23/12/2019","ROBO A REPARTIDOR CON VIOLENCIA","ROBO A REPARTIDOR CON Y SIN VIOLENCIA","Masculino",22,"VICTIMA Y DENUNCIANTE","19/12/2019",12:00:00,21:49:00,"19.3349171023,-99.0260168","IZTAPALAPA","PALMITAS",TRUE
"563","23/12/2019","ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA","ROBO A CUENTAHABIENTE SALIENDO DEL CAJERO CON VIOLENCIA","Masculino",51,"VICTIMA Y DENUNCIANTE","23/12/2019",15:40:00,21:51:00,"19.3655985954,-99.1624883999","BENITO JUAREZ","SANTA CRUZ ATOYAC",TRUE
"564","23/12/2019","LESIONES INTENCIONALES POR ARMA DE FUEGO","LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO","Femenino",29,"LESIONADO","23/12/2019",19:58:00,21:51:00,"19.3226177012,-99.0190156","IZTAPALAPA","BUENAVISTA",TRUE
"565","23/12/2019","ROBO A NEGOCIO CON VIOLENCIA","ROBO A NEGOCIO CON VIOLENCIA","Masculino",48,"VICTIMA Y DENUNCIANTE","23/12/2019",15:52:00,21:51:00,"19.3571577114,-99.1172668572","IZTAPALAPA","GRANJAS ESMERALDA",TRUE
"566","23/12/2019","FRAUDE","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","20/12/2019",10:40:00,22:04:00,"19.392248995,-99.1643399375","BENITO JUAREZ","DEL VALLE CENTRO",TRUE
"567","23/12/2019","ROBO A PASAJERO / CONDUCTOR DE VEHICULO CON VIOLENCIA","DELITO DE BAJO IMPACTO","Masculino",48,"VICTIMA Y DENUNCIANTE","23/12/2019",20:15:00,22:10:00,"19.3926854067,-99.0894771772","IZTACALCO","EX-EJIDO DE LA MAGDALENA MIXIUHCA",TRUE
"568","23/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",25,"VICTIMA Y DENUNCIANTE","18/12/2019",15:30:00,22:13:00,"19.3750309999,-99.1295412999","IZTAPALAPA","SAN ANDRÉS TETEPILCO",TRUE
"569","23/12/2019","ABUSO DE CONFIANZA","DELITO DE BAJO IMPACTO","Masculino",49,"VICTIMA Y DENUNCIANTE","23/12/2019",18:30:00,22:19:00,"19.2815577017,-99.1424527588","TLALPAN","ARENAL TEPEPAN",TRUE
"570","23/12/2019","ROBO A CASA HABITACION SIN VIOLENCIA","DELITO DE BAJO IMPACTO","Masculino",49,"VICTIMA Y DENUNCIANTE","23/12/2019",20:12:00,22:22:00,"19.2980057086,-99.169831269","TLALPAN","ISIDRO FABELA SECCION CANTIL",TRUE
"571","23/12/2019","ROBO A CASA HABITACION SIN VIOLENCIA","DELITO DE BAJO IMPACTO","Femenino",52,"VICTIMA Y DENUNCIANTE","23/12/2019",17:00:00,22:31:00,"19.3265745978,-99.0278522995","IZTAPALAPA","BUENAVISTA",TRUE
"572","23/12/2019","VIOLACION","VIOLACIÓN","Femenino",24,"VICTIMA Y DENUNCIANTE","23/12/2019",17:00:00,22:41:00,"19.430844769,-99.1247685858","VENUSTIANO CARRANZA","ZONA CENTRO",TRUE
